Artista,Nombre,Album,Imagen del Álbum,Popularidad,Duración (ms),Año de Lanzamiento
Kanye West,Donda Chant,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,49,52061,2021-11-14
Kanye West,Hurricane,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,60,243187,2021-11-14
Kanye West,Moon,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,59,156091,2021-11-14
Kanye West,Life Of The Party (with André 3000),Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,64,391656,2021-11-14
Kanye West,Off The Grid,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,59,339249,2021-11-14
Kanye West,Jail,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,55,297000,2021-11-14
Kanye West,Praise God,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,60,226652,2021-11-14
Kanye West,Come to Life,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,56,310393,2021-11-14
Kanye West,Believe What I Say,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,55,242400,2021-11-14
Kanye West,No Child Left Behind,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,54,178061,2021-11-14
Kanye West,Up From The Ashes,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,53,162364,2021-11-14
Kanye West,Remote Control pt 2,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,53,323454,2021-11-14
Kanye West,God Breathed,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,49,333461,2021-11-14
Kanye West,Lord I Need You,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,51,162108,2021-11-14
Kanye West,24,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,52,197898,2021-11-14
Kanye West,Junya,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,50,147668,2021-11-14
Kanye West,Never Abandon Your Family,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,50,207441,2021-11-14
Kanye West,Donda,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,47,128313,2021-11-14
Kanye West,Keep My Spirit Alive,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,49,221250,2021-11-14
Kanye West,Jesus Lord pt 2,Donda (Deluxe),https://i.scdn.co/image/ab67616d0000b273c5663e50de353981ed2b1a37,49,725853,2021-11-14
Kanye West,Donda Chant,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,52,52061,2021-08-29
Kanye West,Jail,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,66,297000,2021-08-29
Kanye West,God Breathed,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,57,333461,2021-08-29
Kanye West,Off The Grid,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,74,339249,2021-08-29
Kanye West,Hurricane,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,73,243187,2021-08-29
Kanye West,Praise God,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,78,226652,2021-08-29
Kanye West,Jonah,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,60,195170,2021-08-29
Kanye West,Ok Ok,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,59,204629,2021-08-29
Kanye West,Junya,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,59,147668,2021-08-29
Kanye West,Believe What I Say,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,67,242400,2021-08-29
Kanye West,24,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,62,197898,2021-08-29
Kanye West,Remote Control,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,60,198613,2021-08-29
Kanye West,Moon,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,75,156091,2021-08-29
Kanye West,Heaven and Hell,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,64,145301,2021-08-29
Kanye West,Donda,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,54,128313,2021-08-29
Kanye West,Keep My Spirit Alive,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,59,221250,2021-08-29
Kanye West,Jesus Lord,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,60,538536,2021-08-29
Kanye West,New Again,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,62,183296,2021-08-29
Kanye West,Tell The Vision,Donda,https://i.scdn.co/image/ab67616d0000b273cad190f1a73c024e5a40dddd,51,104218,2021-08-29
