Artista,Nombre,Album,Imagen del Álbum,Popularidad,Duración (ms),Año de Lanzamiento
Kendrick Lamar,United In Grief,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,79,255377,2022-05-13
Kendrick Lamar,N95,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,81,195950,2022-05-13
Kendrick Lamar,Worldwide Steppers,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,64,203367,2022-05-13
Kendrick Lamar,Die Hard,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,78,239026,2022-05-13
Kendrick Lamar,Father Time (feat. Sampha),Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,74,222497,2022-05-13
Kendrick Lamar,Rich - Interlude,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,60,103319,2022-05-13
Kendrick Lamar,Rich Spirit,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,78,202285,2022-05-13
Kendrick Lamar,We Cry Together,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,67,341307,2022-05-13
Kendrick Lamar,Purple Hearts,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,67,329295,2022-05-13
Kendrick Lamar,Count Me Out,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,77,283642,2022-05-13
Kendrick Lamar,Crown,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,62,264299,2022-05-13
Kendrick Lamar,Silent Hill,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,70,220779,2022-05-13
Kendrick Lamar,Savior - Interlude,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,61,152985,2022-05-13
Kendrick Lamar,Savior,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,69,224466,2022-05-13
Kendrick Lamar,Auntie Diaries,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,61,281069,2022-05-13
Kendrick Lamar,Mr. Morale,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,66,210841,2022-05-13
Kendrick Lamar,Mother I Sober (feat. Beth Gibbons of Portishead),Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,61,406528,2022-05-13
Kendrick Lamar,Mirror,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,67,256006,2022-05-13
Kendrick Lamar,The Heart Part 5,Mr. Morale & The Big Steppers,https://i.scdn.co/image/ab67616d0000b2732e02117d76426a08ac7c174f,62,332228,2022-05-13
Kendrick Lamar,Black Panther,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,55,130613,2018-02-09
Kendrick Lamar,All The Stars (with SZA),Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,86,232186,2018-02-09
Kendrick Lamar,X (with 2 Chainz & Saudi),Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,65,267426,2018-02-09
Kendrick Lamar,The Ways (with Swae Lee),Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,62,238893,2018-02-09
Kendrick Lamar,Opps (with Yugen Blakrok),Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,55,180893,2018-02-09
Kendrick Lamar,I Am,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,58,208760,2018-02-09
Kendrick Lamar,Paramedic!,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,64,219306,2018-02-09
Kendrick Lamar,Bloody Waters (with Anderson .Paak & James Blake),Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,54,272306,2018-02-09
Kendrick Lamar,"King's Dead (with Kendrick Lamar, Future & James Blake)",Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,64,225266,2018-02-09
Kendrick Lamar,Redemption Interlude,Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,50,85266,2018-02-09
Kendrick Lamar,Redemption (with Babes Wodumo),Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,54,222093,2018-02-09
Kendrick Lamar,Seasons (with Sjava & Reason),Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,54,242293,2018-02-09
Kendrick Lamar,Big Shot (with Travis Scott),Black Panther The Album Music From And Inspired By,https://i.scdn.co/image/ab67616d0000b273c027ad28821777b00dcaa888,64,221826,2018-02-09
