Artista,Nombre,Album,Imagen del Álbum,Popularidad,Duración (ms),Año de Lanzamiento
Taylor Swift,Welcome To New York (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,81,212600,2023-10-27
Taylor Swift,Blank Space (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,81,231833,2023-10-27
Taylor Swift,Style (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,82,231000,2023-10-27
Taylor Swift,Out Of The Woods (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,81,235800,2023-10-27
Taylor Swift,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,80,193289,2023-10-27
Taylor Swift,Shake It Off (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,219209,2023-10-27
Taylor Swift,I Wish You Would (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,207650,2023-10-27
Taylor Swift,Bad Blood (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,211103,2023-10-27
Taylor Swift,Wildest Dreams (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,220433,2023-10-27
Taylor Swift,How You Get The Girl (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,247533,2023-10-27
Taylor Swift,This Love (Taylor’s Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,78,250100,2023-10-27
Taylor Swift,I Know Places (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,195700,2023-10-27
Taylor Swift,Clean (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,271000,2023-10-27
Taylor Swift,Wonderland (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,245566,2023-10-27
Taylor Swift,You Are In Love (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,79,267389,2023-10-27
Taylor Swift,New Romantics (Taylor's Version),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,80,230177,2023-10-27
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,84,180381,2023-10-27
Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,84,279833,2023-10-27
Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,85,146436,2023-10-27
Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version) [Deluxe],https://i.scdn.co/image/ab67616d0000b273dc2bacae1dca83d26e2b1949,82,171818,2023-10-27
Taylor Swift,Welcome To New York (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,86,212600,2023-10-26
Taylor Swift,Blank Space (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,89,231833,2023-10-26
Taylor Swift,Style (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,90,231000,2023-10-26
Taylor Swift,Out Of The Woods (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,87,235800,2023-10-26
Taylor Swift,All You Had To Do Was Stay (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,85,193289,2023-10-26
Taylor Swift,Shake It Off (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,85,219209,2023-10-26
Taylor Swift,I Wish You Would (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,84,207650,2023-10-26
Taylor Swift,Bad Blood (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,84,211103,2023-10-26
Taylor Swift,Wildest Dreams (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,86,220433,2023-10-26
Taylor Swift,How You Get The Girl (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,83,247533,2023-10-26
Taylor Swift,This Love (Taylor’s Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,83,250100,2023-10-26
Taylor Swift,I Know Places (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,83,195700,2023-10-26
Taylor Swift,Clean (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,85,271000,2023-10-26
Taylor Swift,Wonderland (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,83,245566,2023-10-26
Taylor Swift,You Are In Love (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,83,267389,2023-10-26
Taylor Swift,New Romantics (Taylor's Version),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,86,230177,2023-10-26
Taylor Swift,"""Slut!"" (Taylor's Version) (From The Vault)",1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,91,180381,2023-10-26
Taylor Swift,Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,90,279833,2023-10-26
Taylor Swift,Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,92,146436,2023-10-26
Taylor Swift,Suburban Legends (Taylor's Version) (From The Vault),1989 (Taylor's Version),https://i.scdn.co/image/ab67616d0000b273904445d70d04eb24d6bb79ac,87,171818,2023-10-26
Taylor Swift,Mine (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,83,231706,2023-07-07
Taylor Swift,Sparks Fly (Taylor’s Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,80,261230,2023-07-07
Taylor Swift,Back To December (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,83,294189,2023-07-07
Taylor Swift,Speak Now (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,78,242473,2023-07-07
Taylor Swift,Dear John (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,79,405906,2023-07-07
Taylor Swift,Mean (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,78,238693,2023-07-07
Taylor Swift,The Story Of Us (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,78,267653,2023-07-07
Taylor Swift,Never Grow Up (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,73,292920,2023-07-07
Taylor Swift,Enchanted (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,87,353253,2023-07-07
Taylor Swift,Better Than Revenge (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,80,220306,2023-07-07
Taylor Swift,Innocent (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,72,301221,2023-07-07
Taylor Swift,Haunted (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,76,245413,2023-07-07
Taylor Swift,Last Kiss (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,76,369120,2023-07-07
Taylor Swift,Long Live (Taylor's Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,81,317960,2023-07-07
Taylor Swift,Ours (Taylor’s Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,74,235803,2023-07-07
Taylor Swift,Superman (Taylor’s Version),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,71,274945,2023-07-07
Taylor Swift,Electric Touch (feat. Fall Out Boy) (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,77,266466,2023-07-07
Taylor Swift,When Emma Falls in Love (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,76,252385,2023-07-07
Taylor Swift,I Can See You (Taylor’s Version) (From The Vault),Speak Now (Taylor's Version),https://i.scdn.co/image/ab67616d0000b2730b04da4f224b51ff86e0a481,85,273186,2023-07-07
